"ID","Marker","BioSample.Accession","Mitogenome.accession","Mitochondrial.clade","Sex.qPCR","Age","Region","Location","Lat","Lon","Year","Month","Day","Membership.rad","Membership.wgs","Q1.rad","Q2.rad","Q3.rad","Q4.rad","Q5.rad","Q1.wgs","Q2.wgs","Q3.wgs","Q4.wgs","Q5.wgs","Q6.wgs","O.Hom.rad","E.Hom.rad","F.rad","O.Hom.wgs","E.Hom.wgs","F.wgs"
"S_20_01777","lcWGS","SAMN36656622","OQ554163","Clade C","F",36,"SLE","Le_Bic",48.396949,-68.677792,2018,7,22,NA,"SLE",NA,NA,NA,NA,NA,0.3259,0.587583,0.00001,0.032812,0.046985,0.00671,NA,NA,NA,646156,642939.3,0.01695
"S_20_01779","lcWGS","SAMN36656623","OQ554164","Clade A","F",40,"SLE","Saint_Ulric",48.788,-67.702,2009,10,24,NA,"SLE",NA,NA,NA,NA,NA,0.00001,0.999947,0.00001,0.000013,0.00001,0.00001,NA,NA,NA,668887,640061.7,0.15249
"S_20_01781","Both","SAMN36656624","OQ554165","Clade C","F",37,"SLE","LAnse_au_Loup",51.5221,-56.8288,2009,7,12,"HBSC","HBSC",0.040927,0.499693,0.31408,0.045802,0.099498,0.531078,0.01981,0.025341,0.169657,0.230267,0.023848,19344,19391.8,-0.00749,636319,639522.2,-0.01696
"S_20_01783_rep","ddRADseq","SAMN36656625",NA,NA,NA,21,"SLE","Sainte_Flavie",48.6127,-68.2287,2015,7,17,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,20934,19313.7,0.25495,NA,NA,NA
"S_20_01785","Both","SAMN36656627","OQ554168","Clade A","F",53,"SLE","Ile_aux_Basques",48.144625,-69.247415,2017,5,20,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.999949,0.00001,0.000011,0.00001,0.00001,20835,19349.4,0.23308,656174,622231.5,0.18424
"S_20_01787","ddRADseq","SAMN36656628",NA,NA,"F",18,"SLE","Petit_Matane",48.857667,-67.473944,2018,7,10,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,19342,17651.3,0.30344,NA,NA,NA
"S_20_01788","Both","SAMN36656629","OQ554169","Clade A","M",NA,"SLE","Grand_Metis",48.655252,-68.072588,2017,8,1,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,0.00001,0.00001,20999,19543,0.22552,662972,640550.3,0.11859
"S_20_01794","ddRADseq","SAMN36656632",NA,NA,"M",0,"SLE","Riviere_Ouelle",47.485684,-70.023444,2018,7,30,"SLE",NA,0.999957,0.00001,0.000013,0.00001,0.00001,NA,NA,NA,NA,NA,NA,19500,17722.5,0.31727,NA,NA,NA
"S_20_01797","Both","SAMN36656633","OQ554170","Clade A","F",45,"SLE","Baie_Sainte_Catherine",48.161905,-69.877651,2018,7,29,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,0.00001,0.00001,20859,19398.8,0.22825,667984,643804.4,0.12726
"S_20_03476_rep","ddRADseq","SAMN36656862",NA,NA,"F",44,"SLE","Rimouski_est",48.78527778,-68.54277778,2011,5,19,"HBSC",NA,0.080405,0.541839,0.226024,0.034773,0.116958,NA,NA,NA,NA,NA,NA,19190,19293.2,-0.01625,NA,NA,NA
"S_20_03478","ddRADseq","SAMN36656863",NA,NA,"F",40,"SLE","Sainte_Flavie",48.72388889,-68.01972222,2010,7,31,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,21311,19437.1,0.29207,NA,NA,NA
"S_20_03480","Both","SAMN36656864","OQ554220","Clade A","F",31,"SLE","Sainte_Flavie",48.60638889,-68.24111111,2010,8,29,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,0.00001,0.00001,19326,17681.7,0.29081,646814,608013.3,0.21516
"S_20_03481","ddRADseq","SAMN36656865",NA,NA,"F",NA,"SLE","Tadoussac",48.1414,-69.7091,2000,7,26,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,20245,18425,0.30425,NA,NA,NA
"S_20_03482","ddRADseq","SAMN36656866",NA,NA,"F",9,"SLE","Tadoussac",48.1414,-69.7091,2000,7,26,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,21141,19536.9,0.24854,NA,NA,NA
"S_20_03531","lcWGS","SAMN36656890","OQ554232","Clade A",NA,30,"SLE","Matane",48.87732,-67.41554,2019,10,17,NA,"SLE",NA,NA,NA,NA,NA,0.00001,0.999948,0.00001,0.000012,0.00001,0.00001,NA,NA,NA,662687,629153.6,0.1801
"S_20_03532","lcWGS","SAMN36656891","OQ554233","Clade A","F",28,"SLE","Cacouna",47.9133,-69.5073,2019,11,9,NA,"SLE",NA,NA,NA,NA,NA,0.00001,0.999948,0.00001,0.000012,0.00001,0.00001,NA,NA,NA,663867,639111.7,0.13116
"S_20_03535","lcWGS","SAMN36656892","OQ554234","Clade A","F",51,"SLE","Rimouski",48.42944444,-68.59611111,2010,6,10,NA,"SLE",NA,NA,NA,NA,NA,0.00001,0.99995,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,634156,596518.2,0.21271
"S_20_03537","lcWGS","SAMN36656893","OQ554235","Clade A","F",5,"SLE","Baie_des_Sables",48.722212,-67.89651,2019,4,8,NA,"SLE",NA,NA,NA,NA,NA,0.00001,0.999948,0.00001,0.000011,0.000011,0.00001,NA,NA,NA,661207,644912.5,0.08563
"S_20_03538","lcWGS","SAMN36656894","OQ554236","Clade D","M",2,"SLE","Rimouski",48.422994,-68.607249,2019,5,13,NA,"SLE",NA,NA,NA,NA,NA,0.00001,0.999947,0.00001,0.000013,0.00001,0.00001,NA,NA,NA,663390,646283.4,0.08974
"S_20_03539","lcWGS","SAMN36656895","OQ554237","Clade A","M",52,"SLE","Saint_Ulric",48.785139,-67.700917,2019,6,19,NA,"SLE",NA,NA,NA,NA,NA,0.00001,0.999948,0.00001,0.000012,0.00001,0.00001,NA,NA,NA,647589,615875.9,0.17403
"S_20_03540","lcWGS","SAMN36656896","OQ554238","Clade C","F",22,"SLE","Grosse_Roche",48.940756,-67.171455,2019,7,16,NA,"SLE",NA,NA,NA,NA,NA,0.200534,0.799426,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,645593,624459.7,0.11439
"S_20_03659","lcWGS","SAMN36656943","OQ554245","Clade A","F",48,"SLE","Riviere_du_Loup",47.865,-69.61667,2019,8,1,NA,"SLE",NA,NA,NA,NA,NA,0.00001,0.999944,0.00001,0.00001,0.00001,0.000016,NA,NA,NA,661003,625280.9,0.19312
"S_20_03664","Both","SAMN36656944","OQ554246","Clade A","M",0,"SLE","Matane",48.818,-67.6044,2009,9,3,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,0.00001,0.00001,21118,19544.5,0.24367,664963,640056.9,0.13177
"S_20_03665_rep","ddRADseq","SAMN36656945",NA,NA,"F",14,"SLE","Les_Boules",48.69027778,-67.97111111,2011,8,9,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,20571,18951.6,0.26143,NA,NA,NA
"S_20_00660","ddRADseq","SAMN36656167",NA,NA,"M",24,"CS","Pangnirtung",NA,NA,2005,8,3,"HBSC",NA,0.156848,0.450288,0.325249,0.038329,0.029285,NA,NA,NA,NA,NA,NA,18742,17600.5,0.20045,NA,NA,NA
"S_20_00661","Both","SAMN36656168","MW316168    ",NA,"F",17,"CS","Pangnirtung_Imigen",NA,NA,2002,7,6,"CS","CS",0.00001,0.00001,0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,19259,18313,0.15669,641460,640564.1,0.00474
"S_20_00662","Both","SAMN36656169","OQ553966","Clade D","F",NA,"CS","Pangnirtung",NA,NA,2002,7,25,"CS","CS",0.00001,0.00001,0.99996,0.00001,0.00001,0.106333,0.009898,0.012771,0.744431,0.06817,0.058397,19410,19461.3,-0.00799,630187,625401.4,0.02585
"S_20_00663","lcWGS","SAMN36656170","OQ553967","Clade D","M",27,"CS","Pangnirtung_Bon_Accord",NA,NA,2002,7,22,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,634402,622161.7,0.06639
"S_20_00664","Both","SAMN36656171","OQ553968","Clade D","M",31,"CS","Pangnirtung_Bon_Accord",65.216271,-65.750172,2005,8,4,"HBSC","HBSC",0.082002,0.56103,0.208855,0.090878,0.057235,0.594691,0.034996,0.02747,0.083352,0.24635,0.013142,19102,18549.4,0.09027,618716,599919.9,0.10571
"S_20_00665","ddRADseq","SAMN36656172",NA,NA,"M",14,"CS","Pangnirtung_Imilit",NA,NA,2006,6,30,"HBSC",NA,0.070994,0.556718,0.297025,0.015015,0.060248,NA,NA,NA,NA,NA,NA,19307,19069.7,0.03794,NA,NA,NA
"S_20_00666","ddRADseq","SAMN36656173",NA,NA,"M",16,"CS","Pangnirtung_Emelet",NA,NA,2006,7,1,"CS",NA,0.00001,0.00001,0.912832,0.000028,0.08712,NA,NA,NA,NA,NA,NA,19426,19492.4,-0.01032,NA,NA,NA
"S_20_00667","ddRADseq","SAMN36656174",NA,NA,"F",18,"CS","Pangnirtung_Nuvuatiakalak",NA,NA,2002,7,21,"CS",NA,0.017113,0.136076,0.804038,0.00001,0.042763,NA,NA,NA,NA,NA,NA,19661,19532.5,0.01991,NA,NA,NA
"S_20_00668","ddRADseq","SAMN36656175",NA,NA,"M",17,"CS","Pangnirtung",NA,NA,2005,8,3,"CS",NA,0.069806,0.00001,0.930164,0.00001,0.00001,NA,NA,NA,NA,NA,NA,16691,15397.9,0.26667,NA,NA,NA
"S_20_00670","ddRADseq","SAMN36656176",NA,NA,"M",19,"CS","Pangnirtung",NA,NA,2002,7,10,"CS",NA,0.00001,0.00001,0.99996,0.00001,0.00001,NA,NA,NA,NA,NA,NA,19516,19275.5,0.03792,NA,NA,NA
"S_20_00690","ddRADseq","SAMN36656186",NA,NA,"M",6,"CS","Pangnirtung",NA,NA,2005,7,9,"HBSC",NA,0.176056,0.434166,0.309615,0.049166,0.030997,NA,NA,NA,NA,NA,NA,18353,17112.8,0.22573,NA,NA,NA
"S_20_00691","lcWGS","SAMN36656187","MW316165    ",NA,"F",19,"CS","Pangnirtung_Imilit",NA,NA,2002,7,22,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,636265,634782.8,0.00789
"S_20_00692","ddRADseq","SAMN36656188",NA,NA,"M",22,"CS","Pangnirtung_Tarriunittuq_Bay",NA,NA,2005,8,3,"HBSC",NA,0.080632,0.549735,0.245248,0.024407,0.099978,NA,NA,NA,NA,NA,NA,19324,18585.9,0.12222,NA,NA,NA
"S_20_00693","lcWGS","SAMN33394065","OQ553974","Clade D","M",24,"CS","Pangnirtung",NA,NA,2005,7,NA,NA,"HBSC",NA,NA,NA,NA,NA,0.521074,0.001764,0.033778,0.156311,0.271352,0.015721,NA,NA,NA,640186,641609.5,-0.00751
"S_20_00694","lcWGS","SAMN36656189","OQ553975","Clade D","M",27,"CS","Pangnirtung_Angijak_Island",66.01,-63.02,2002,7,22,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,638838,636769,0.01099
"S_20_00695","ddRADseq","SAMN36656190",NA,NA,"M",NA,"CS","Pangnirtung_West_Cumberland_Sound",65.24083333,-66.65805556,2002,7,NA,"CS",NA,0.00001,0.00001,0.99996,0.00001,0.00001,NA,NA,NA,NA,NA,NA,19472,19310.7,0.02523,NA,NA,NA
"S_20_00697","ddRADseq","SAMN36656191",NA,NA,"F",26,"CS","Pangnirtung",NA,NA,2007,7,4,"CS",NA,0.00001,0.00001,0.99996,0.00001,0.00001,NA,NA,NA,NA,NA,NA,19250,18406.8,0.14197,NA,NA,NA
"S_20_00701","ddRADseq","SAMN36656193",NA,NA,"F",29,"CS","Pangnirtung",NA,NA,2005,7,12,"HBSC",NA,0.055286,0.610452,0.212921,0.037223,0.084118,NA,NA,NA,NA,NA,NA,19317,19499.9,-0.0284,NA,NA,NA
"S_20_00702","ddRADseq","SAMN33394026",NA,NA,"M",30,"CS","Pangnirtung",NA,NA,2002,7,22,"CS",NA,0.10601,0.00001,0.89396,0.00001,0.00001,NA,NA,NA,NA,NA,NA,16166,14706.3,0.31921,NA,NA,NA
"S_20_00703","Both","SAMN32779554","MW316171    ",NA,"M",40,"CS","Pangnirtung",NA,NA,2006,7,1,"CS","CS",0.00001,0.00001,0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.81004,0.036735,0.153195,19571,18721.8,0.13937,639112,646037.7,-0.03634
"S_20_00709","ddRADseq","SAMN36656194",NA,NA,"F",NA,"CS","Pangnirtung_West_Cumberland_Sound",65.24083333,-66.65805556,2002,7,NA,"CS",NA,0.00001,0.00001,0.99996,0.00001,0.00001,NA,NA,NA,NA,NA,NA,19361,18534.9,0.13498,NA,NA,NA
"S_20_00776","Both","SAMN36656245","OQ553996","Clade D","M",32,"CS","Pangnirtung_Ilugajut",NA,NA,2002,7,NA,"CS","CS",0.023312,0.121069,0.790379,0.034122,0.031118,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,19625,19101.3,0.08293,636861,644246.2,-0.03884
"S_20_00777","ddRADseq","SAMN36656246",NA,NA,"F",NA,"CS","Pangnirtung",NA,NA,2002,7,22,"CS",NA,0.046094,0.018111,0.754396,0.042494,0.138905,NA,NA,NA,NA,NA,NA,19428,18914,0.08224,NA,NA,NA
"S_20_00778","Both","SAMN36656247","MW316169    ",NA,"M",38,"CS","Pangnirtung_Imilit",NA,NA,2002,7,6,"CS","CS",0.00001,0.158008,0.7625,0.005083,0.0744,0.068698,0.000126,0.005428,0.708385,0.093924,0.123439,19424,19349,0.01178,636189,625811.6,0.056
"S_20_00781","Both","SAMN36656250","OQ553998","Clade D","F",13,"CS","Pangnirtung",NA,NA,2007,7,4,"CS","CS",0.018253,0.084486,0.830686,0.010055,0.05652,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,19384,18975,0.06584,634351,625042.4,0.05031
"S_20_00782","Both","SAMN36656251","OQ553999","Clade D","M",NA,"CS","Pangnirtung",66.1466,-65.7012,2005,NA,NA,"HBSC","HBSC",0.180638,0.33634,0.437599,0.022845,0.022578,0.510814,0.030253,0.008132,0.135774,0.254316,0.060712,17122,15476,0.33701,629885,618259.5,0.06351
"S_20_00784","Both","SAMN36656252","OQ554000","Clade C","M",29,"CS","Pangnirtung_Kangilo_Fjord",NA,NA,2007,7,4,"CS","CS",0.00001,0.00001,0.99996,0.00001,0.00001,0.052061,0.00001,0.008696,0.675487,0.137922,0.125825,19301,18498.6,0.13357,637883,639413.4,-0.0081
"S_20_00785","lcWGS","SAMN36656253","OQ554001","Clade D","F",NA,"CS","Pangnirtung",NA,NA,2006,7,18,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,631497,620756.5,0.05841
"S_20_01255","lcWGS","SAMN36656488","OQ554053","Clade D","M",NA,"CS","Pangnirtung_Imilit",65.890667,-67.195387,2009,7,4,NA,"HBSC",NA,NA,NA,NA,NA,0.604222,0.011663,0.010215,0.091304,0.249925,0.032672,NA,NA,NA,639712,641743.9,-0.01073
"S_20_01270","lcWGS","SAMN36656493","OQ554058","Clade C","M",25,"CS","Pangnirtung_Imilit",NA,NA,1997,7,13,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.869626,0.00001,0.130334,NA,NA,NA,635379,631488.5,0.02082
"S_20_01273","lcWGS","SAMN36656494","OQ554059","Clade D","M",24,"CS",NA,NA,NA,1997,7,15,NA,"CS",NA,NA,NA,NA,NA,0.009739,0.000024,0.00001,0.809296,0.087396,0.093535,NA,NA,NA,644075,639118,0.02625
"S_20_01327","lcWGS","SAMN36656507","OQ554072","Clade D","M",21,"CS",NA,NA,NA,1997,7,8,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,635103,640431.2,-0.02815
"S_20_01329","lcWGS","SAMN36656508","OQ554073","Clade D","F",13,"CS",NA,NA,NA,2001,7,9,NA,"CS",NA,NA,NA,NA,NA,0.081409,0.006034,0.00001,0.767327,0.088021,0.057199,NA,NA,NA,630971,623002.8,0.04319
"S_20_01335","lcWGS","SAMN36656510","OQ554075","Clade D","F",6,"CS","Aupaluktok_Island",NA,NA,2000,7,10,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.018659,0.78263,0.057234,0.141458,NA,NA,NA,635207,642132.2,-0.03651
"S_20_01409","lcWGS","SAMN36656531","OQ554096","Clade D","M",19,"CS",NA,NA,NA,1997,7,5,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,639212,632571.1,0.0355
"S_20_01418","Both","SAMN36656536","OQ554101","Clade D","F",23,"CS","Pangnirtung_Cumberland_Sound",NA,NA,2002,7,22,"CS","CS",0.00001,0.00001,0.99996,0.00001,0.00001,0.063851,0.00001,0.023863,0.746111,0.073972,0.092193,19459,19206.7,0.03968,639925,635602,0.023
"S_20_01430","lcWGS","SAMN36656539","OQ554104","Clade D","M",33,"CS","Pangnirtung_Cumberland_Sound",NA,NA,1997,7,9,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,637949,636572.9,0.00732
"S_20_01432","lcWGS","SAMN36656540","OQ554105","Clade D","M",18,"CS","Pangnirtung_Cumberland_Sound",NA,NA,1997,7,15,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,636837,636214,0.00331
"S_20_01539","lcWGS","SAMN36656565","OQ554131","Clade D","F",15,"CS","Clearwater_Fiord",65.13,-65.45,1984,8,25,NA,"CS",NA,NA,NA,NA,NA,0.063794,0.006345,0.013404,0.716757,0.093392,0.106307,NA,NA,NA,635680,632574.4,0.01659
"S_20_01546","lcWGS","SAMN36656566","OQ554132","Clade D","F",34,"CS","Pangnirtung_Bon_Accord",65.216271,-65.750172,2010,7,6,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,NA,NA,NA,640762,633158.2,0.04061
"S_20_01556","lcWGS","SAMN36656570","OQ554136","Clade C","M",NA,"CS","Clearwater_Fiord",66.5674,-67.4474,1982,7,21,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.00001,0.00001,0.822189,0.00001,0.177771,NA,NA,NA,639382,645681.8,-0.03307
"S_20_01580","lcWGS","SAMN36656574","OQ554140","Clade D","M",18,"CS","Cumberland_sound_Ingiiqtivvik",NA,NA,2016,7,7,NA,"HBSC",NA,NA,NA,NA,NA,0.535736,0.020206,0.015764,0.135455,0.263965,0.028874,NA,NA,NA,628956,623396.1,0.0301
"S_20_01597","lcWGS","SAMN36656577","OQ554143","Clade D","M",25,"CS","Clearwater_Fiord",NA,NA,1984,8,16,NA,"HBSC",NA,NA,NA,NA,NA,0.643476,0.001542,0.013676,0.078082,0.229143,0.03408,NA,NA,NA,630993,627248.7,0.02015
"S_20_03496","lcWGS","SAMN36656868","OQ554221","Clade D","M",11,"CS","Clearwater_Fiord",66.5674,-67.4474,1994,7,23,NA,"CS",NA,NA,NA,NA,NA,0.00001,0.000013,0.00001,0.999947,0.00001,0.00001,NA,NA,NA,635451,627993.2,0.04013
"S_20_03509","Both","SAMN36656874","OQ554225","Clade C","F",NA,"CS","Pangnirtung",66.2689,-67.1083,2007,7,12,"CS","CS",0.00001,0.00001,0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,19590,18802.2,0.12688,639398,632679.3,0.03593
"S_20_03510","Both","SAMN36656875","OQ554226","Clade C","F",NA,"CS","Pangnirtung",66.2689,-67.1083,2007,7,12,"CS","CS",0.093517,0.00001,0.906453,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,17721,16346.7,0.27148,633683,627600.6,0.03272
"S_20_03511","lcWGS","SAMN36656876","OQ554227","Clade D","M",41,"CS","Pangnirtung",NA,NA,2002,7,NA,NA,"CS",NA,NA,NA,NA,NA,0.055103,0.00001,0.00293,0.763607,0.047836,0.130514,NA,NA,NA,637941,636201.3,0.00925
"S_20_03522","Both","SAMN36656885","OQ554230","Clade D","M",NA,"CS","Pangnirtung_West_Cumberland_Sound",65.24083333,-66.65805556,2002,7,NA,"CS","CS",0.00001,0.00001,0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,19528,19417.4,0.01726,629533,620179.3,0.05092
"S_20_01331","lcWGS","SAMN36656509","OQ554074","Clade D","F",6,"FRB","Iqaluit",NA,NA,2002,7,26,NA,"HBSC",NA,NA,NA,NA,NA,0.617103,0.019733,0.013399,0.107325,0.23572,0.006721,NA,NA,NA,634631,628506.2,0.03296
"S_20_01400","lcWGS","SAMN36656530","OQ554095","Clade D","M",19,"FRB","Iqaluit",NA,NA,1997,8,2,NA,"HBSC",NA,NA,NA,NA,NA,0.451326,0.014853,0.027115,0.148789,0.276602,0.081315,NA,NA,NA,631926,625936,0.03232
"S_20_01434","lcWGS","SAMN36656541","MW316138 ",NA,"F",9,"FRB",NA,NA,NA,1996,7,16,NA,"HBSC",NA,NA,NA,NA,NA,0.490356,0.030417,0.017491,0.178606,0.244068,0.039062,NA,NA,NA,620735,604509,0.09047
"S_20_01437","lcWGS","SAMN36656542","OQ554107","Clade D","M",10,"FRB",NA,NA,NA,1996,7,18,NA,"HBSC",NA,NA,NA,NA,NA,0.553796,0.019941,0.01227,0.101765,0.276482,0.035746,NA,NA,NA,638347,635862.4,0.01322
"S_20_01438","lcWGS","SAMN36656543","OQ554108","Clade D","F",6,"FRB",NA,NA,NA,1996,8,11,NA,"HBSC",NA,NA,NA,NA,NA,0.552197,0.002899,0.013678,0.128193,0.27604,0.026993,NA,NA,NA,635396,635443.2,-0.00025
"S_20_01444","lcWGS","SAMN36656545","OQ554110","Clade D","M",10,"FRB","Hidden_Bay",NA,NA,1996,8,5,NA,"HBSC",NA,NA,NA,NA,NA,0.614893,0.016821,0.009096,0.019954,0.318204,0.021032,NA,NA,NA,635534,631376.3,0.02227
"S_20_01454","lcWGS","SAMN36656547","OQ554112","Clade C","M",30,"FRB","Kajoosie_Inlet",NA,NA,1993,8,17,NA,"HBSC",NA,NA,NA,NA,NA,0.351319,0.014807,0.009729,0.408697,0.155979,0.059468,NA,NA,NA,639339,634446.4,0.02608
"S_20_01462","lcWGS","SAMN36656548","OQ554113","Clade D","M",11,"FRB",NA,NA,NA,1994,7,23,NA,"HBSC",NA,NA,NA,NA,NA,0.568134,0.004467,0.017102,0.099419,0.26551,0.045368,NA,NA,NA,637238,639442.1,-0.01167
"S_20_03572","ddRADseq","SAMN36656899",NA,NA,"M",16,"FRB","Iqaluit",NA,NA,1991,7,23,"HBSC",NA,0.038693,0.606122,0.240072,0.008872,0.10624,NA,NA,NA,NA,NA,NA,19323,19426.6,-0.01617,NA,NA,NA
"S_20_03573","ddRADseq","SAMN36656900",NA,NA,"M",25,"FRB","Iqaluit",NA,NA,1992,6,8,"HBSC",NA,0.03051,0.544529,0.28446,0.064925,0.075577,NA,NA,NA,NA,NA,NA,18687,19255.4,-0.08989,NA,NA,NA
"S_20_03582","ddRADseq","SAMN36656902",NA,NA,"F",11,"FRB","Iqaluit",NA,NA,1991,7,15,"HBSC",NA,0.03323,0.625528,0.243689,0.03005,0.067503,NA,NA,NA,NA,NA,NA,19399,19524.2,-0.01942,NA,NA,NA
"S_20_03583","ddRADseq","SAMN36656903",NA,NA,"M",1,"FRB","Iqaluit",NA,NA,1992,6,19,"HBSC",NA,0.050811,0.637583,0.205699,0.002496,0.103411,NA,NA,NA,NA,NA,NA,18940,19410.6,-0.07353,NA,NA,NA
